X,Y,Name,Region Name,Planning Area Name,Region Code,Central Area Indicator,Subzone Code,Planning Area Code
103.7469961,1.362433288,HONG KAH NORTH,WEST REGION,BUKIT BATOK,WR,N,BKSZ02,BK
103.8476604,1.364642153,TOWNSVILLE,NORTH-EAST REGION,ANG MO KIO,NER,N,AMSZ04,AM
103.8912395,1.369267421,HOUGANG CENTRAL,NORTH-EAST REGION,HOUGANG,NER,N,HGSZ01,HG
103.972607,1.367648311,LOYANG EAST,EAST REGION,PASIR RIS,ER,N,PRSZ07,PR
103.9375589,1.368178079,TAMPINES NORTH,EAST REGION,TAMPINES,ER,N,TMSZ01,TM
103.7965313,1.451365446,SENOKO WEST,NORTH REGION,WOODLANDS,NR,N,WDSZ08,WD
103.8391664,1.372994526,KEBUN BAHRU,NORTH-EAST REGION,ANG MO KIO,NER,N,AMSZ06,AM
103.8638307,1.373983305,SERANGOON NORTH IND ESTATE,NORTH-EAST REGION,SERANGOON,NER,N,SGSZ02,SG
103.7566314,1.369248737,GOMBAK,WEST REGION,BUKIT BATOK,WR,N,BKSZ01,BK
103.760471,1.433370589,KRANJI,NORTH REGION,SUNGEI KADUT,NR,N,SKSZ01,SK
103.7629433,1.400430261,GALI BATU,NORTH REGION,SUNGEI KADUT,NR,N,SKSZ03,SK
104.0024616,1.351505872,CHANGI AIRPORT,EAST REGION,CHANGI,ER,N,CHSZ03,CH
103.7466612,1.39166919,CHOA CHU KANG NORTH,WEST REGION,CHOA CHU KANG,WR,N,CKSZ05,CK
103.9072507,1.38777586,RIVERVALE,NORTH-EAST REGION,SENGKANG,NER,N,SESZ02,SE
103.8764541,1.394715961,FERNVALE,NORTH-EAST REGION,SENGKANG,NER,N,SESZ06,SE
103.9124005,1.394444103,PUNGGOL FIELD,NORTH-EAST REGION,PUNGGOL,NER,N,PGSZ04,PG
103.7478191,1.400927013,YEW TEE,WEST REGION,CHOA CHU KANG,WR,N,CKSZ06,CK
103.8964664,1.40227662,MATILDA,NORTH-EAST REGION,PUNGGOL,NER,N,PGSZ03,PG
103.9136552,1.401879602,WATERWAY EAST,NORTH-EAST REGION,PUNGGOL,NER,N,PGSZ05,PG
103.8972242,1.391437687,SENGKANG TOWN CENTRE,NORTH-EAST REGION,SENGKANG,NER,N,SESZ03,SE
103.8880144,1.393775066,ANCHORVALE,NORTH-EAST REGION,SENGKANG,NER,N,SESZ04,SE
103.8471925,1.410896358,LOWER SELETAR,NORTH REGION,YISHUN,NR,N,YSSZ05,YS
103.8250839,1.426550768,MANDAI ESTATE,NORTH REGION,MANDAI,NR,N,MDSZ03,MD
103.7622641,1.420116062,TURF CLUB,NORTH REGION,SUNGEI KADUT,NR,N,SKSZ02,SK
103.7937871,1.428936028,WOODLANDS SOUTH,NORTH REGION,WOODLANDS,NR,N,WDSZ04,WD
103.8476243,1.42786307,YISHUN EAST,NORTH REGION,YISHUN,NR,N,YSSZ03,YS
103.6955582,1.380812631,WESTERN WATER CATCHMENT,WEST REGION,WESTERN WATER CATCHMENT,WR,N,WCSZ01,WC
103.8792066,1.424639235,PULAU PUNGGOL BARAT,NORTH-EAST REGION,SELETAR,NER,N,SLSZ02,SL
103.8226567,1.403045863,SPRINGLEAF,NORTH REGION,YISHUN,NR,N,YSSZ06,YS
103.8173666,1.446944442,SEMBAWANG CENTRAL,NORTH REGION,SEMBAWANG,NR,N,SBSZ03,SB
103.8309911,1.447757494,SEMBAWANG EAST,NORTH REGION,SEMBAWANG,NR,N,SBSZ01,SB
103.8252184,1.452196411,ADMIRALTY,NORTH REGION,SEMBAWANG,NR,N,SBSZ05,SB
103.7192357,1.431002395,LIM CHU KANG,NORTH REGION,LIM CHU KANG,NR,N,LKSZ01,LK
103.8070684,1.453530158,SENOKO SOUTH,NORTH REGION,SEMBAWANG,NR,N,SBSZ09,SB
103.816174,1.455613614,SEMBAWANG NORTH,NORTH REGION,SEMBAWANG,NR,N,SBSZ04,SB
103.8243445,1.441495556,SEMBAWANG SPRINGS,NORTH REGION,SEMBAWANG,NR,N,SBSZ02,SB
104.0526149,1.389138868,NORTH-EASTERN ISLANDS,NORTH-EAST REGION,NORTH-EASTERN ISLANDS,NER,N,NESZ01,NE
103.7749809,1.439086757,WOODLANDS WEST,NORTH REGION,WOODLANDS,NR,N,WDSZ06,WD
103.8392867,1.437870373,NORTHLAND,NORTH REGION,YISHUN,NR,N,YSSZ02,YS
103.7913521,1.43994523,MIDVIEW,NORTH REGION,WOODLANDS,NR,N,WDSZ02,WD
